Data Year,Utility Number,Community,Utility Name,Ownership,Residential Thousand Dollars,Residential Megawatthours,Residential Count,Commercial Thousand Dollars,Commercial Megawatthours,Commercial Count,Industrial Thousand Dollars,Industrial Megawatthours,Industrial Count,Total Thousand Dollars,Total Megawatthours,Total CustomerCount
2004,7822,Gustavus,Gustavus Electric Inc,Investor Owned,517,895,393,316,622,109,0,0,0,833,1517,502
2003,7822,Gustavus,Gustavus Electric Inc,Investor Owned,473,878,365,301,631,107,0,0,0,774,1509,472
2011,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,371.7,1105,262,587,1649,100,0,0,0,958.7,2754,362
2010,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,293,1075,345,813,1623,95,0,0,0,1106,2698,440
2009,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,300.2,976,345,799.6,1335,94,0,0,0,1099.8,2311,439
2008,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,328.4,980,312,468.2,1328,82,0,0,0,796.6,2308,394
2007,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,328,1000,307,569,1721,100,0,0,0,897,2721,407
2006,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,313,1053,255,586,1627,84,0,0,0,899,2680,339
2005,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,345,1058,257,498,1453,84,0,0,0,843,2511,341
2004,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,346,1051,251,523,1507,84,,,,869,2558,335
2003,7833,Fort Yukon,Gwitchyaa Zhee Utility Co,Investor Owned,323,957,252,267,786,69,186,539,6,776,2282,327
2011,9000,Hughes,Hughes Power & Light Co,Investor Owned,99,139,37,114,160,12,0,0,0,213,299,49
2010,9000,Hughes,Hughes Power & Light Co,Investor Owned,84.5,118,35,122.5,163,15,0,0,0,207,281,50
2009,9000,Hughes,Hughes Power & Light Co,Investor Owned,82.5,115,33,111.2,156,15,0,0,0,193.7,271,48
2008,9000,Hughes,Hughes Power & Light Co,Investor Owned,60,104,35,78,122,13,0,0,0,138,226,48
2007,9000,Hughes,Hughes Power & Light Co,Investor Owned,51,98,36,94,89,9,26,54,3,171,241,48
2006,9000,Hughes,Hughes Power & Light Co,Investor Owned,49,93,36,62,112,9,30,57,3,141,262,48
2005,9000,Hughes,Hughes Power & Light Co,Investor Owned,40,73,28,81,150,9,21,38,4,142,261,41
2004,9000,Hughes,Hughes Power & Light Co,Investor Owned,36,68,28,75,146,9,20,39,4,131,253,41
2003,9000,Hughes,Hughes Power & Light Co,Investor Owned,34,67,28,54,106,9,21,40,4,109,213,41
2011,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,556,972,180,911,2177,104,0,0,0,1467,3149,284
2010,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,557,976,185,856,1675,99,0,0,0,1413,2651,284
2009,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,522,932,180,752,1450,106,0,0,0,1274,2382,286
2008,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,509,1093,184,728,1698,109,0,0,0,1237,2791,293
2007,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,454,1005,190,659,1617,102,0,0,0,1113,2622,292
2006,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,417,914,190,591,1446,102,0,0,0,1008,2360,292
2005,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,412,877,201,541,1289,105,0,0,0,953,2166,306
2004,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,502,953,208,627,1236,105,0,0,0,1129,2189,313
2003,9188,INN,"I-N-N Electric Coop, Inc",Cooperative,459,911,208,559,1170,105,0,0,0,1018,2081,313
2011,9192,Iguigig,Igiugig Electric Company,Political Subdivision,82,83,24,146,190,23,0,0,0,228,273,47
2010,9192,Iguigig,Igiugig Electric Company,Political Subdivision,72.5,90,23,109.9,155,22,0,0,0,182.4,245,45
2009,9192,Iguigig,Igiugig Electric Company,Political Subdivision,51,69,18,104.1,152,23,0,0,0,155.1,221,41
2008,9192,Iguigig,Igiugig Electric Company,Political Subdivision,34,56,17,85,146,22,0,0,0,119,202,39
2007,9192,Iguigig,Igiugig Electric Company,Political Subdivision,24,47,18,85,136,21,0,0,0,109,183,39
2006,9192,Iguigig,Igiugig Electric Company,Political Subdivision,31,52,19,85,142,21,0,0,0,116,194,40
2005,9192,Iguigig,Igiugig Electric Company,Political Subdivision,33,55,19,77,132,21,0,0,0,110,187,40
2004,9192,Iguigig,Igiugig Electric Company,Political Subdivision,30,54,18,73,129,19,0,0,0,103,183,37
2003,9192,Iguigig,Igiugig Electric Company,Political Subdivision,34,59,18,74,138,18,0,0,0,108,197,36
2011,9416,Deering,Ipnatchiaq Electric Company,Municipal,159.1,198,39,373.9,466,18,0,0,0,533,664,57
2010,9416,Deering,Ipnatchiaq Electric Company,Municipal,134,177,39,314,416,18,0,0,0,448,593,57
2009,9416,Deering,Ipnatchiaq Electric Company,Municipal,150,194,42,358,462,20,0,0,0,508,656,62
2008,9416,Deering,Ipnatchiaq Electric Company,Municipal,132,207,42,284,448,20,0,0,0,416,655,62
2007,9416,Deering,Ipnatchiaq Electric Company,Municipal,108,219,45,207,419,18,0,0,0,315,638,63
2006,9416,Deering,Ipnatchiaq Electric Company,Municipal,119,241,46,227,465,22,0,0,0,346,706,68
2005,9416,Deering,Ipnatchiaq Electric Company,Municipal,97,239,48,175,438,21,0,0,0,272,677,69
2004,9416,Deering,Ipnatchiaq Electric Company,Municipal,109,270,48,157,407,19,0,0,0,266,677,67
2003,9416,Deering,Ipnatchiaq Electric Company,Municipal,100,258,48,140,385,19,0,0,0,240,643,67
2011,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,325,624,181,203.9,391,40,0,0,0,528.9,1015,221
2010,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,325.9,620,174,189.9,337,42,0,0,0,515.8,957,216
2009,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,317.6,603,172,191.6,373,38,0,0,0,509.2,976,210
2008,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,306.8,650,172,178.8,351,38,0,0,0,485.6,1001,210
2007,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,290,643,172,331,407,38,0,0,0,621,1050,210
2006,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,289,640,169,163,340,39,0,0,0,452,980,208
2005,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,288,640,169,163,340,4,0,0,0,451,980,173
2004,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,284,631,182,171,507,5,0,0,0,455,1138,187
2003,9832,Kwethluk,Kuiggluum Kallugvia,Investor Owned,292,648,182,175,410,5,0,0,0,467,1058,187
2011,9897,King Cove,City of King Cove,Municipal,238,1224,110,831,2450,266,0,0,0,1069,3674,376
2010,9897,King Cove,City of King Cove,Municipal,151,866,178,428,2465,77,0,0,0,579,3331,255
2009,9897,King Cove,City of King Cove,Municipal,213,900,182,544,2947,81,0,0,0,757,3847,263
2008,9897,King Cove,City of King Cove,Municipal,209,931,184,691.2,2880,87,0,0,0,900.2,3811,271
2007,9897,King Cove,City of King Cove,Municipal,167,734,180,475,2655,198,,,,642,3389,378
2006,9897,King Cove,City of King Cove,Municipal,166,784,180,474,2230,198,0,0,0,640,3014,378
2005,9897,King Cove,City of King Cove,Municipal,166,835,185,472,2376,198,0,0,0,638,3211,383
2004,9897,King Cove,City of King Cove,Municipal,160,818,180,463,2312,195,0,0,0,623,3130,375
2003,9897,King Cove,City of King Cove,Municipal,161,803,171,528,2574,194,0,0,0,689,3377,365
2007,9898,Kotlik,City of Kotlik,Municipal,185,441,157,272,487,28,0,0,0,457,928,185
2006,9898,Kotlik,City of Kotlik,Municipal,272,651,153,413,790,28,0,0,0,685,1441,181
2005,9898,Kotlik,City of Kotlik,Municipal,218,550,152,268,668,24,0,0,0,486,1218,176
2004,9898,Kotlik,City of Kotlik,Municipal,207,600,152,235,710,24,0,0,0,442,1310,176
2003,9898,Kotlik,City of Kotlik,Municipal,202,714,143,271,792,25,0,0,0,473,1506,168
2014,10210,Ketchikan,Ketchikan Public Utilities,Municipal,7095,70161,6334,7183.7,74369,1258,1948.9,23409,13,16227.6,167939,7605
2013,10210,Ketchikan,Ketchikan Public Utilities,Municipal,7228.9,71044,6274,7187.4,73932,1228,2115.4,25306,13,16531.7,170282,7515
2012,10210,Ketchikan,Ketchikan Public Utilities,Municipal,7559.2,74274,6275,7144.8,73463,1230,2046.9,24453,13,16750.9,172190,7518
2011,10210,Ketchikan,Ketchikan Public Utilities,Municipal,7223.5,70815,6208,6837.1,70657,1223,1952.6,23242,12,16013.2,164714,7443
2010,10210,Ketchikan,Ketchikan Public Utilities,Municipal,6826.2,67041,6195,6619,67963,1210,1926.9,21981,13,15372.1,156985,7418
2009,10210,Ketchikan,Ketchikan Public Utilities,Municipal,7018.8,68777,6166,6596.1,68155,1185,1796.2,21215,14,15411.1,158147,7365
2008,10210,Ketchikan,Ketchikan Public Utilities,Municipal,6980.8,68287,6166,6755.7,69778,1166,1787.3,21275,14,15523.8,159340,7346
2007,10210,Ketchikan,Ketchikan Public Utilities,Municipal,6475,64652,6140,6541,69286,1151,1779,20865,14,14795,154803,7305
2006,10210,Ketchikan,Ketchikan Public Utilities,Municipal,6234,62141,6105,6536,68837,1132,1714,21182,14,14484,152160,7251
2005,10210,Ketchikan,Ketchikan Public Utilities,Municipal,5668,58656,6070,6055,66669,1118,1524,19919,14,13247,145244,7202
2004,10210,Ketchikan,Ketchikan Public Utilities,Municipal,5639,59636,6043,5949,65417,1103,1527,20587,15,13115,145640,7161
2003,10210,Ketchikan,Ketchikan Public Utilities,Municipal,5562,58668,6064,5836,65332,1100,1550,21001,14,12948,145001,7178
2014,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5845,34366,4741,3701,22546,1050,13804,90135,103,23350,147047,5894
2013,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6148,34387,4705,3722,21450,1042,14219,87337,103,24089,143174,5850
2012,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6536,35273,4696,4004,22282,1040,14770,87040,102,25310,144595,5838
2011,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6493,34125,4689,3982,21537,1032,14978,86308,99,25453,141970,5820
2010,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5941,33653,4670,3603,21088,1026,13525,84344,102,23069,139085,5798
2009,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5488,33385,4665,3285,20736,1071,11832,80493,97,20605,134614,5833
2008,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6306,32883,4649,3919,21171,1074,14326,82218,94,24551,136272,5817
2007,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6497,32750,4639,4089,21344,1073,15031,84047,94,25617,138141,5806
2006,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,6158,32454,4612,3920,21354,1079,14237,82520,92,24315,136328,5783
2005,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5370,31551,4611,3353,20528,1084,11904,78779,92,20627,130858,5787
2004,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5289,32286,4560,3372,21558,1084,10939,74668,92,19600,128512,5736
2003,10433,Kodiak,Kodiak Electric Assn Inc,Cooperative,5386,32361,4631,0,0,0,13367,90194,1049,18753,122555,5680
2014,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3115.7,7275,1147,5124.8,12657,130,0,0,0,8240.5,19932,1277
2013,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3066,7451,1123,5006,12912,126,0,0,0,8072,20363,1249
2012,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3446,7887,1130,5625,13270,126,0,0,0,9071,21157,1256
2011,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3293.1,7678,1136,5457.5,13285,128,0,0,0,8750.6,20963,1264
2010,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3699,7669,1148,5667,12209,130,0,0,0,9366,19878,1278
2009,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3790,7902,1160,5683,12298,129,0,0,0,9473,20200,1289
2008,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3103,7996,1141,4535,12384,124,0,0,0,7638,20380,1265
2007,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,3020,8005,1141,4418,12547,121,0,0,0,7438,20552,1262
2006,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,2750,8264,1144,3938,12722,123,0,0,0,6688,20986,1267
2005,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,2492,8329,1139,3677,13225,125,0,0,0,6169,21554,1264
2004,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,2177,8198,1125,3085,12568,130,0,0,0,5262,20766,1255
2003,10451,Kotzebue,Kotzebue Electric Assn Inc,Cooperative,1939,7984,1042,2843,12746,137,0,0,0,4782,20730,1179
2011,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,160,178,56,186,226,21,0,0,0,346,404,77
2010,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,161,179,56,198,219,19,0,0,0,359,398,75
2009,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,171,192,50,154,220,19,0,0,0,325,412,69
2008,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,131,178,47,157,226,18,0,0,0,288,404,65
2007,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,104,173,50,119,230,17,0,0,0,223,403,67
2006,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,103,172,50,122,253,18,0,0,0,225,425,68
2005,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,67,163,50,138,209,18,0,0,0,205,372,68
2004,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,100,167,49,80,197,16,0,0,0,180,364,65
2003,10455,Kokhanok,Kokhanok Village Council,Political Subdivision,97,171,48,48,86,14,0,0,0,145,257,62
2011,10491,Kwigillingok,Kwig Power Company,Political Subdivision,260.4,402,86,244.2,411,27,47.9,81,6,552.5,894,119
2010,10491,Kwigillingok,Kwig Power Company,Political Subdivision,304.3,506,85,164.1,338,19,21.6,47,3,490,891,107
2009,10491,Kwigillingok,Kwig Power Company,Political Subdivision,228.5,453,85,123.3,302,19,16.1,42,3,367.9,797,107
2008,10491,Kwigillingok,Kwig Power Company,Political Subdivision,197.4,414,85,138.3,352,21,0,0,0,335.7,766,106
2007,10491,Kwigillingok,Kwig Power Company,Political Subdivision,234,472,85,118,299,23,,,,352,771,108
2006,10491,Kwigillingok,Kwig Power Company,Political Subdivision,219,457,85,139,357,23,0,0,0,358,814,108
2005,10491,Kwigillingok,Kwig Power Company,Political Subdivision,259,457,88,110,210,20,16,41,3,385,708,111
2004,10491,Kwigillingok,Kwig Power Company,Political Subdivision,241,457,88,104,204,20,14,40,3,359,701,111
2003,10491,Kwigillingok,Kwig Power Company,Political Subdivision,220,437,88,93,193,20,13,40,3,326,670,111
2011,10716,Larsen Bay,City of Larsen Bay,Municipal,66,172,54,115,256,35,0,0,0,181,428,89
2010,10716,Larsen Bay,City of Larsen Bay,Municipal,60.9,156,37,157.4,470,37,0,0,0,218.3,626,74
2009,10716,Larsen Bay,City of Larsen Bay,Municipal,127.5,310,52,90.5,310,38,0,0,0,218,620,90
2008,10716,Larsen Bay,City of Larsen Bay,Municipal,57.5,138,41,180.5,549,46,0,0,0,238,687,87
2007,10716,Larsen Bay,City of Larsen Bay,Municipal,75,193,48,164,471,26,0,0,0,239,664,74
2006,10716,Larsen Bay,City of Larsen Bay,Municipal,185,363,48,96,181,26,0,0,0,281,544,74
2005,10716,Larsen Bay,City of Larsen Bay,Municipal,145,363,48,73,181,26,0,0,0,218,544,74
2004,10716,Larsen Bay,City of Larsen Bay,Municipal,85,280,48,163,306,38,0,0,0,248,586,86
2003,10716,Larsen Bay,City of Larsen Bay,Municipal,78,268,48,145,290,38,0,0,0,223,558,86
2008,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,82,123,76,88,133,13,0,0,0,170,256,89
2007,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,86,112,75,75,111,14,0,0,0,161,223,89
2006,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,88,116,75,77,114,14,0,0,0,165,230,89
2005,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,91,122,75,81,118,14,0,0,0,172,240,89
2004,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,92,124,74,90,130,15,0,0,0,182,254,89
2003,11591,Manley Hot Springs,Manley Utility Co Inc,Investor Owned,92,124,72,88,136,15,0,0,0,180,260,87
2014,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,74981.5,448552,56055,38697.7,273691,3831,0,0,0,113679.2,722243,59886
2013,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,68393.6,452533,54900,34068.4,271422,3761,0,0,0,102462,723955,58661
2012,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,69800,458393,53982,34198,268094,3711,0,0,0,103998,726487,57693
2011,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,68212,451449,53239,33796,265746,3668,0,0,0,102008,717195,56907
2010,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,60084,435159,52501,29083,256040,3643,0,0,0,89167,691199,56144
2009,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,70686,438691,51796,36496,260239,3714,0,0,0,107182,698930,55510
2008,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,63123,442498,50887,31320,258426,3673,0,0,0,94443,700924,54560
2007,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,57511,428929,49939,28552,252183,3564,0,0,0,86063,681112,53503
2006,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,56527,431007,48387,27524,247877,3354,0,0,0,84051,678884,51741
2005,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,46335,406770,46313,22268,237640,3216,0,0,0,68603,644410,49529
2004,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,41838,393646,43761,19583,225030,3113,0,0,0,61421,618676,46874
2003,11824,Mat-Su,Matanuska Electric Assn Inc,Cooperative,38309,368675,41566,17929,213014,3057,0,0,0,56238,581689,44623
2011,12119,McGrath,McGrath Light & Power Co,Investor Owned,273.3,710,188,632.8,1809,115,0,0,0,906.1,2519,303
2010,12119,McGrath,McGrath Light & Power Co,Investor Owned,270,670,178,698,1901,120,0,0,0,968,2571,298
2009,12119,McGrath,McGrath Light & Power Co,Investor Owned,244.2,637,142,668.2,1880,127,0,0,0,912.4,2517,269
2008,12119,McGrath,McGrath Light & Power Co,Investor Owned,263,688,139,641,1834,125,0,0,0,904,2522,264
2007,12119,McGrath,McGrath Light & Power Co,Investor Owned,278,728,162,622,1783,92,0,0,0,900,2511,254
2006,12119,McGrath,McGrath Light & Power Co,Investor Owned,272,712,160,634,1829,79,0,0,0,906,2541,239
2005,12119,McGrath,McGrath Light & Power Co,Investor Owned,263,687,153,629,1814,73,0,0,0,892,2501,226
2004,12119,McGrath,McGrath Light & Power Co,Investor Owned,295,775,162,619,1219,82,0,0,0,914,1994,244
2003,12119,McGrath,McGrath Light & Power Co,Investor Owned,315,826,176,607,1731,79,0,0,0,922,2557,255
2011,12385,Metlakatla,Metlakatla Power & Light,Municipal,772,8455,641,1185,9881,210,11,60,67,1968,18396,918
2010,12385,Metlakatla,Metlakatla Power & Light,Municipal,671,7498,635,1065,9296,215,10,51,65,1746,16845,915
2009,12385,Metlakatla,Metlakatla Power & Light,Municipal,682,7386,608,1000,9173,212,10,59,67,1692,16618,887
2008,12385,Metlakatla,Metlakatla Power & Light,Municipal,659,6956,604,1002,8647,214,14,83,62,1675,15686,880
2007,12385,Metlakatla,Metlakatla Power & Light,Municipal,572,6180,582,849,8030,214,11,68,58,1432,14278,854
2006,12385,Metlakatla,Metlakatla Power & Light,Municipal,567,6126,540,983,8087,261,0,0,0,1550,14213,801
2005,12385,Metlakatla,Metlakatla Power & Light,Municipal,564,5676,539,904,7786,253,33,234,1,1501,13696,793
2004,12385,Metlakatla,Metlakatla Power & Light,Municipal,525,5673,539,851,7575,253,28,226,1,1404,13474,793
2003,12385,Metlakatla,Metlakatla Power & Light,Municipal,519,5608,568,823,7513,260,97,665,1,1439,13786,829
2011,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,352,413,131,478,559,60,0,0,0,830,972,191
2010,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,415,442,133,441,519,61,0,0,0,856,961,194
2009,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,429,420,145,520.9,530,68,0,0,0,949.9,950,213
2008,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,384,409,153,483,523,64,0,0,0,867,932,217
2007,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,357,395,171,500,560,59,0,0,0,857,955,230
2006,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,330,411,142,432,550,55,0,0,0,762,961,197
2005,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,329,406,138,403,570,56,0,0,0,732,976,194
2004,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,313,421,140,336,484,58,0,0,0,649,905,198
2003,12485,MKEC,Middle Kuskokwim Elec Coop Inc,Cooperative,289,412,128,291,430,62,0,0,0,580,842,190
2011,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1795,3509,669,6925,14927,309,0,0,0,8720,18436,978
2010,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1735,3737,684,7030,16165,337,0,0,0,8765,19902,1021
2009,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1654,3789,686,6520,16169,328,0,0,0,8174,19958,1014
2008,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1564,3928,753,6060,16562,360,0,0,0,7624,20490,1113
2007,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1417,3967,686,5083,15666,328,0,0,0,6500,19633,1014
2006,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1267,4052,695,4441,15492,333,0,0,0,5708,19544,1028
2005,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,1089,4019,710,3815,15592,339,0,0,0,4904,19611,1049
2004,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,997,4143,710,3223,15174,320,0,0,0,4220,19317,1030
2003,13201,Naknek,"Naknek Electric Assn, Inc",Cooperative,911,3961,710,2874,14361,320,0,0,0,3785,18322,1030
2011,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,334,393,112,152,181,21,0,0,0,486,574,133
2010,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,234.8,371,104,131.6,215,33,0,0,0,366.4,586,137
2009,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,372,398,99,117,127,23,0,0,0,489,525,122
2008,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,249,377,104,101,153,19,0,0,0,350,530,123
2007,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,268,357,97,81,105,15,0,0,0,349,462,112
2006,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,230,366,90,94,144,22,0,0,0,324,510,112
2005,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,238,361,90,91,137,15,0,0,0,329,498,105
2004,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,234,379,97,94,173,23,0,0,0,328,552,120
2003,13211,Napakiak,Napakiak Ircinraq Power Co,Investor Owned,233,394,97,100,192,23,0,0,0,333,586,120
2011,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,117.7,154,36,165.3,216,24,0,0,0,283,370,60
2010,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,120,162,36,160.7,217,24,0,0,0,280.7,379,60
2009,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,123.6,172,47,123.4,171,11,22,31,9,269,374,67
2008,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,94,180,47,78,151,11,11,22,2,183,353,60
2007,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,98,189,47,74,144,11,14,26,2,186,359,60
2006,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,89,191,47,60,133,11,9,21,2,158,345,60
2005,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,74,177,46,62,148,13,11,25,8,147,350,67
2004,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,81,192,46,57,135,11,0,0,0,138,327,57
2003,13477,Nelson Lagoon,Nelson Lagoon Elec Coop Inc,Cooperative,84,201,70,54,119,11,0,0,0,138,320,81
2014,13642,Nome,Nome Joint Utility Systems,Municipal,3667,9302,1721,7516,20208,408,0,0,0,11183,29510,2129
2013,13642,Nome,Nome Joint Utility Systems,Municipal,3579,9494,1707,7906,22347,411,0,0,0,11485,31841,2118
2012,13642,Nome,Nome Joint Utility Systems,Municipal,3398,9780,1702,8220,23553,411,0,0,0,11618,33333,2113
2011,13642,Nome,Nome Joint Utility Systems,Municipal,3374,9217,1701,8017,23559,407,0,0,0,11391,32776,2108
2010,13642,Nome,Nome Joint Utility Systems,Municipal,3308,9181,1694,7969,24105,401,0,0,0,11277,33286,2095
2009,13642,Nome,Nome Joint Utility Systems,Municipal,3417,9279,1690,8403,23774,403,0,0,0,11820,33053,2093
2008,13642,Nome,Nome Joint Utility Systems,Municipal,3312,9680,1660,9305,28335,404,0,0,0,12617,38015,2064
2007,13642,Nome,Nome Joint Utility Systems,Municipal,3015,9275,1623,5622,18540,403,0,0,0,8637,27815,2026
2006,13642,Nome,Nome Joint Utility Systems,Municipal,2712,9499,1613,4960,18555,391,0,0,0,7672,28054,2004
2005,13642,Nome,Nome Joint Utility Systems,Municipal,2333,9464,1606,4085,18697,389,0,0,0,6418,28161,1995
2004,13642,Nome,Nome Joint Utility Systems,Municipal,1995,9428,1596,3434,17725,373,0,0,0,5429,27153,1969
2003,13642,Nome,Nome Joint Utility Systems,Municipal,1868,9156,1561,3233,17382,374,0,0,0,5101,26538,1935
2011,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,2346,5696,1000,1948,2997,312,2906,9326,179,7200,18019,1491
2010,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,1921,5641,979,1721,4800,169,2460,7559,296,6102,18000,1444
2009,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,2650,5744,982,2151,4335,145,3223,7092,305,8024,17171,1432
2008,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,2458,6000,980,2138,5000,158,2630,6000,306,7226,17000,1444
2007,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,2107,5945,963,1800,6579,145,2243,4532,306,6150,17056,1414
2006,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,2010,5997,965,2980,9254,311,729,2180,142,5719,17431,1418
2005,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,1806,6046,972,2577,8987,310,642,2154,133,5025,17187,1415
2004,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,1609,6186,959,2303,9198,318,596,2244,138,4508,17628,1415
2003,13870,Dillingham,"Nushagak Electric Coop, Inc",Cooperative,1369,6022,963,1960,8719,324,480,2069,136,3809,16810,1423
2011,14234,Ouzinkie,City of Ouzinkie,Municipal,111,325,76,132,343,16,0,0,0,243,668,92
