Community,Wind class to Model (within 1 mile),High Turbulence (Y/N),Phase,Proposed Capacity (kW),Proposed Generation (kWh),Distance to Resource (ft),Generation Capital Cost,Transmission CAPEX,Operational Costs / year,Expected years to operation,Identified Reason for not pursuing project,Data Source (report reference),Project Name,Lat/Long (decimal degrees)
Ouzinkie,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Palmer,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Paxson,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pedro Bay,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pelican,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Perryville,2,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Petersburg,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Petersville,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pilot Point,4,N,Design,0,290000,7250,545700,246540,300760,1,,REF Project,,
Pilot Station,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pitkas Point,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Platinum,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pleasant Valley,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Point Baker,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Point Hope,6,N,Design,900,2420000,11000,2000000,720000,0,0,,NREL Wind Map,Point Hope Wind Turbine Design,"68.340, -166.645"
Point Lay,4,N,Feasibility,675,1503283,2000,1200000,10000,0,0,,NREL Wind Map,Point Lay Wind Generation Design,"69.755, -163.005"
Point MacKenzie,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Point Possession,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Pope-Vannoy Landing,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Alexander,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Alsworth,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Clarence,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Graham,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Heiden,5,N,Reconnaissance,0,0,0,0,0,0,0,,AEA 30-m met tower,,
Port Lions,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Port Protection,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Portage Creek,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Primrose,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Prudhoe Bay,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Quinhagak,3,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Rampart,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Red Devil,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Red Dog Mine,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ridgeway,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ruby,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Russian Mission,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Saint George,7,N,Construction,36,300000,8000,1362000,1830000,0,2,,AEA 30-m met tower,,
Saint Mary's,6,N,Design,120,345100,8000,4440000,260000,42000,2,,REF Project,,
Saint Michael,6,N,Design,400,1106920,7000,4030000,0,0,0,,REF Project,,
Saint Paul,6,N,Operational,0,0,0,0,0,0,0,,NREL Wind Map,,
Salamatof,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Salcha,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sand Point,5,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Savoonga,6,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Saxman,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Scammon Bay,5,N,Reconnaissance,0,0,0,0,0,0,0,,REF Project,,
Selawik,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Seldovia,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Seldovia Village,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Seward,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Shageluk,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Shaktoolik,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Shishmaref,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Shungnak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Silver Springs,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sitka,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Skagway,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Skwentna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Slana,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sleetmute,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Soldotna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
South Naknek,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
South Van Horn,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Stebbins,6,,Design,400,1106920,7000,4030000,N/A,N/A,N/A,,NREL Wind Map,Stebbins St Michael Wind Energy Final Design and Permitting,"63.506, -162.192"
Steele Creek,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sterling,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Stevens Village,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Stony River,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sunrise,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Susitna,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Susitna North,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Sutton-Alpine,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Takotna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Talkeetna,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tanacross,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tanaina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tanana,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tatitlek,1,N,Reconnaissance,0,0,1500,0,0,0,0,,REF Project,,
Tazlina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Teller,3,N,Feasibility,0,0,13000,0,0,0,0,,REF Project,,
Tenakee Springs,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tetlin,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Thorne Bay,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Togiak,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Tok,4,N,Feasibility,0,0,0,0,0,0,0,,REF Project,,
Toksook Bay,6,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Tolsona,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tonsina,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Trapper Creek,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tuluksak,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tuntutuliak,3,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tununak,7,N,Operational,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Twin Hills,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Two Rivers,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Tyonek,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Ugashik,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,AEA 30-m met tower,,
Unalakleet,3,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Unalaska,6,Y,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Valdez,7,Y,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Venetie,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Wainwright,4,N,Reconnaissance,0,0,0,0,0,0,0,,REF Project,,
Wales,7,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Wasilla,2,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Whale Pass,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
White Mountain,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Whitestone,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Whitestone Logging Camp,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Whittier,4,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Willow,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Willow Creek,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Wiseman,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Womens Bay,5,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Wrangell,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
Yakutat,1,N,Reconnaissance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,NREL Wind Map,,
