Community Name,Sufficient Biomass for 30% of Non-residential buildings,"Existing project (Y,N)","Productive Forest (H,M,L)",Phase,Certainty,On Road/SE,Proposed Capacity (MMBtu/hr),Proposed Heating Oil Displaced,Estimated Capital Cost,Estimated Operation Cost,Source of Data,Heating Reference Community,Distance to Heating Reference Community,Peak Month % of total,Capacity Factor
Selawik,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,73.05583731,0.132952018,0.629337066
Shageluk,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,74.2198208,0.134162209,0.633050897
Shaktoolik,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,35.08588236,0.139272727,0.609821524
Shishmaref,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,105.4562165,0.132952018,0.629337066
Shungnak,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KOTZEBUE,147.7627853,0.132952018,0.629337066
Silver Springs,Yes,N,H,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,17.83898004,0.156773212,0.541747573
Sitka,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,92.61180977,0.142174014,0.597377145
Skagway,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,86.38504558,0.142174014,0.597377145
Slana,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,54.28152567,0.156773212,0.541747573
Sleetmute,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,ANNETTE,78.5523208,0.134162209,0.633050897
South Naknek,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,King Salmon,12.21262735,0.138508646,0.6131856
Stebbins,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,51.9545519,0.139272727,0.609821524
Stevens Village,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,92.09207197,0.154001433,0.551498161
Stony River,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,86.62472908,0.160077771,0.530564029
Takotna,Yes,N,M,,L,No,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,14.82381212,0.160077771,0.530564029
Tanacross,Yes,Y,H,Construction,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,92.5668823,0.157645467,0.538750073
Tanana,Yes,Y,H,Construction,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,121.6402505,0.154001433,0.551498161
Tatitlek,Yes,N,H,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,VALDEZ,21.37250345,0.137264975,0.618741285
Tazlina,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,15.33934145,0.156773212,0.541747573
Telida,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,MCGRATH,78.13196563,0.160077771,0.530564029
Teller,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,60.27599425,0.132870169,0.637408875
Tenakee Springs,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,46.68850283,0.142174014,0.597377145
Tetlin,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,108.5090872,0.156773212,0.541747573
Thorne Bay,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,193.9417984,0.142174014,0.597377145
Togiak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,129.6896781,0.141984494,0.598174523
Tok,Yes,Y,H,Construction,M,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,103.5311879,0.157645467,0.538750073
Toksook Bay,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,114.5076228,0.141984494,0.598174523
Tolsona,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,26.6702097,0.156773212,0.541747573
Tonsina,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,GULKANA,42.42462496,0.156773212,0.541747573
Tuluksak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,34.14761162,0.141984494,0.598174523
Tuntutuliak,No,N,L,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,44.19021085,0.141984494,0.598174523
Tununak,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,118.6522416,0.141984494,0.598174523
Twin Hills,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETHEL,129.9911296,0.141984494,0.598174523
Unalakleet,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,UNALAKLEET,0.000059,0.139272727,0.609821524
Unalaska,No,N,L,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,COLD BAY,178.451422,0.117853457,0.709296246
Upper Kalskag,Yes,N,M,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Bethel,,0.141984494,0.598174523
Valdez,Yes,N,H,,L,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,VALDEZ,0,0.137264975,0.618741285
Venetie,Yes,N,M,Recon,M,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,137.9364181,0.154001433,0.551498161
Wainwright,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BARROW,86.03790548,0.122807018,0.673153223
Wales,No,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,109.7984365,0.132870169,0.637408875
Ward Cove,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,224.1001346,0.142174014,0.597377145
Whale Pass,Yes,N,,,,Yes,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,158.4854308,0.142174014,0.597377145
White Mountain,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,NOME,59.8373509,0.132870169,0.637408875
Whitestone,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BIG DELTA,1.854656165,0.157645467,0.538750073
Whitestone Logging Camp,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,40.34628422,0.142174014,0.597377145
Willow Creek,Yes,N,,,L,no,,,,,Alaska Energy Data Inventory Biomass/AEA,Gulkana,,0.156773212,0.541747573
Wiseman,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,BETTLES,50.94558159,0.154001433,0.551498161
Womens Bay,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,KODIAK,9.468519888,0.122581367,0.692858214
Wrangell,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,JUNEAU,147.3368652,0.142174014,0.597377145
Yakutat,Yes,N,,,,no,,,,,Alaska Energy Data Inventory Biomass/AEA,YAKUTAT,0,0.130500107,0.650815609
