Community,Region,Priority 1,Priority 2,Priority 3,Priority 4,Priority 5,Priority 6,Priority 7,Priority 8,Priority 9,Priority 10,Priority 11
Tanacross,Yukon-Koyukuk/Upper Tanana,Yerrick Creek hydro,biomass system almost operating for multiuse building,add solar PV to community buildings & homes,Energy efficiency audits and upgrades of homes and commercial buildings,,,,,,,
Tanana,Yukon-Koyukuk/Upper Tanana,Complete forestry harvest plan,operator training,road connection near Manley Hot Springs,wind and hydro (long term),,,,,,,
Tatitlek,Prince William Sound,Water and sewer EE audits,Wind assessment in new location,School audit and EE upgrades,Explore solar & biomass,EE on all buildings (residential and commercial),,,,,,
Tazlina,Copper River,"Tribe: Woodchip biomass heating loop - 4 buildings, wood from brush crews (RE Fund 8 award)",pedestrian bridge,CRBRHA: mobile home park redevelopment (15 EE units),Public input: Electrical work in older homes/safety issues,EE audits/retrofits,DIY classes.,,,,,
Teller,Bering Straits,,,,,,,,,,,
Tenakee Springs,Southeast,Indian River Hydro,,,,,,,,,,
Tetlin,Yukon-Koyukuk/Upper Tanana,Biomass for community buildings,energy efficiency upgrades to buildings,Interest in EPA wood stove change out,,,,,,,,
Thorne Bay,Southeast,,,,,,,,,,,
Togiak,Bristol Bay,Heat recovery project under construction,small hydro project,Interest in intertie to Twin Hills,Tank farm upgrade urgently needed due to erosion on site,Upgrade to water and sewer lines,,,,,,
Tok,Yukon-Koyukuk/Upper Tanana,Biomass in Tok school,Yerrick Creek hydro,Wind studies _ Chisana Mt. & 7_Mile,Investigate options for utility scale solar,wood stove change_out program,monitor trucking of LNG,expand solar PV on homes & private buildings,,,,
Toksook Bay,Lower Yukon-Kuskokwim,,,,,,,,,,,
Tolsona,Copper River,"Ahtna: Continue natural gas exploration near Tolsona. Next steps: exploratory drilling and site work, development plan (2015_2016).",,,,,,,,,,
Tonsina,Copper River,,,,,,,,,,,
Tuluksak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Tuntutuliak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Tununak,Lower Yukon-Kuskokwim,,,,,,,,,,,
Twin Hills,Bristol Bay,Install heat recovery system,New low_maintenance generators needed,Add solar arrays to homes and community buildings,Alternative method for fuel delivery due to lower river level,Upkeep of road pads built on tundra and moss,need more homes and community buildings,,,,,
Unalakleet,Bering Straits,,,,,,,,,,,
Unalaska,Aleutians,Continue wind study,biomass_ solid waste incineration for heat,investigate solar uses,Update Pyramid and Shaishnikof Creeks hydro plants,heat recovery,heat pumps,integrate private powerhouses,LNG,expand use of waste heat,,
Upper Kalskag,Lower Yukon-Kuskokwim,,,,,,,,,,,
Valdez,Prince William Sound,Feasibility and alternative energy options,EE and audits on all buildings,,,,,,,,,
Venetie,Yukon-Koyukuk/Upper Tanana,Repair heat recovery to washeteria,additional fuel storage at airport,address high line loss,Generator replacement or rebuild needed,utility clerk training,PV panels on washeteria _ expand use if possible,,,,,
Wainwright,North Slope,"Train local utility operators for new systems, including water and sewer, housing and power generation as alternative and new technologies become available.",Upgrade Electrical System.,Implement Energy Audits on School and Fire Station,Electrical System Upgrades.,,,,,,,
Wales,Bering Straits,,,,,,,,,,,
Whale Pass,Southeast,Neck Lake Hydro,Rural Power System Upgrade (RPSU),,,,,,,,,
White Mountain,Bering Straits,Heat recovery,Alternative energy,Distribution system maintenance,,,,,,,,
Wiseman,Yukon-Koyukuk/Upper Tanana,,,,,,,,,,,
Womens Bay,Kodiak Region,,,,,,,,,,,
Wrangell,Southeast,,,,,,,,,,,
Yakutat,Southeast,Renewable energy feasibility,District heating,Energy efficiency retrofits,,,,,,,,
